"","Q3_B","Q4_B","Q5_B","Q6_B","Q7_B","Q8_C","Q9_C","Q10_D","Q11_D","Q12_D","Q13_D","Q14_D","Q15_D","Q16_D","Q17_E","Q18_E","Q19_E","Q20_E","Q21_E","Q22_E"
"1",2,1,0,1,0,1,0,0,0,1,1,0,2,2,3,2,2,0,2,3
"2",0,1,1,1,1,2,1,1,0,1,0,0,0,0,2,0,1,0,1,0
"3",0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,2
"4",2,2,0,2,1,0,0,1,2,3,3,3,3,3,3,3,3,3,3,1
"5",2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"6",0,0,2,0,0,0,0,2,0,0,0,2,2,1,1,1,2,0,2,1
"7",1,0,0,1,0,2,0,3,1,0,2,3,2,2,2,0,3,0,3,0
"8",0,0,0,0,1,0,0,0,0,0,2,2,2,0,1,0,0,0,2,0
"9",0,0,0,3,3,3,0,0,0,3,3,3,3,3,3,3,3,0,0,0
"10",3,3,3,3,0,2,1,0,3,2,2,2,0,0,1,0,1,0,3,3
"11",2,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,1,2,0
"12",1,0,2,0,3,2,1,0,3,2,2,3,3,1,1,0,2,0,3,3
"13",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"14",0,0,2,0,2,2,1,0,0,2,3,0,2,2,2,0,2,0,3,3
"15",0,2,0,0,0,1,2,1,0,0,2,0,2,2,2,1,2,2,2,1
"16",0,2,0,3,3,0,0,0,0,1,1,3,2,3,2,1,2,2,3,3
"17",2,0,2,1,2,0,2,0,2,2,2,3,2,3,2,2,2,0,2,2
"18",1,0,1,1,2,3,2,0,0,2,0,3,2,3,3,2,2,2,3,0
"19",1,1,0,0,1,0,0,0,1,0,1,2,2,0,0,0,0,1,1,2
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",0,0,1,0,1,1,0,2,0,0,1,0,1,0,0,0,1,1,1,0
"22",0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,2,2,0,0
"23",0,0,0,2,0,2,2,0,0,2,0,1,0,2,0,0,1,0,1,2
"24",1,0,1,0,1,3,3,2,0,0,0,0,0,1,3,0,2,0,0,0
"25",1,2,1,2,1,0,1,0,3,2,2,3,2,1,1,1,2,1,3,3
"26",0,1,0,1,1,0,0,0,0,0,1,0,0,0,3,1,2,2,1,0
"27",3,2,2,3,3,3,3,0,3,3,2,3,3,3,3,1,3,2,2,3
"28",0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2
"29",0,0,3,0,2,0,0,0,2,1,2,2,0,0,2,1,1,0,2,3
"30",0,0,1,0,0,0,0,0,0,0,2,2,1,1,1,1,1,0,1,1
"31",2,0,2,2,3,3,0,0,0,2,1,0,3,3,3,0,3,0,3,2
"32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"33",0,0,0,0,0,1,1,0,0,0,1,1,2,1,1,1,1,0,2,2
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"35",0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0
